date,Open,High,Low,Close,Volume
04-11-2021,243.02,250.48,234.52,247.17,4440296290
05-11-2021,247.17,248.41,230.68,236.34,2752870913
06-11-2021,236.34,259.95,235.04,258.63,3869779683
07-11-2021,258.63,258.81,245.9,249.76,2624869522
08-11-2021,249.76,253.3,240.76,248.35,3344410176
09-11-2021,248.35,253.17,237.5,239.03,2819309492
10-11-2021,239.03,248.09,218.64,233.62,3873202098
11-11-2021,233.62,246.46,229.6,233.51,2693456862
12-11-2021,233.51,239,220.98,228.64,3022054714
13-11-2021,228.64,241.92,224.99,241.66,2322796265
14-11-2021,241.66,241.94,230.47,238.71,1705211600
15-11-2021,238.71,246.33,234.5,238.17,2414551003
16-11-2021,238.17,238.17,214.88,219.09,3557977024
17-11-2021,219.09,222.24,209.95,218.95,2982505239
18-11-2021,218.95,222.78,186.78,195.24,3911214658
19-11-2021,195.24,219.74,189.18,215.39,3431624914
20-11-2021,215.39,221.28,206.17,217.89,2003638941
21-11-2021,217.89,235.71,210.44,230.56,2636480460
22-11-2021,230.56,232.18,211.75,215.78,3254258844
23-11-2021,215.78,226.17,211.04,221.94,2328763768
24-11-2021,221.94,222.31,200.2,205.75,2293934142
25-11-2021,205.75,216.48,202.06,210.06,2586718627
26-11-2021,210.06,210.6,182.81,192.24,3380122748
27-11-2021,192.24,199.47,190.69,193,1443178833
28-11-2021,193,202.3,181.17,200.92,2033215941
29-11-2021,200.92,212.94,199.87,204.22,2110532147
30-11-2021,204.22,218.52,199.73,208.43,2888387657
01-12-2021,208.43,232.51,207.77,229.91,3532771294
02-12-2021,229.91,243.31,220.2,233.89,4074103518
03-12-2021,233.89,239.63,206.22,211.87,4061060881
04-12-2021,211.87,212.63,175.73,201.01,5949505665
05-12-2021,201.01,204.66,181.28,196.74,3402591975
06-12-2021,196.74,197.72,176.61,194.03,3693853028
07-12-2021,194.03,204.27,188.08,190.38,2556849839
08-12-2021,190.38,196.33,183.89,194.74,2277446203
09-12-2021,194.74,196.81,178.8,181.41,1968182104
